Entity,Code,Year,Share of the population who are Jews
Finland,FIN,2020,0.062084887
France,FRA,2010,0.7718846
France,FRA,2020,0.69168675
French Guiana,GUF,2010,0.045013648
French Guiana,GUF,2020,0.040511314
French Polynesia,PYF,2010,0.057008278
French Polynesia,PYF,2020,0.053901322
Gabon,GAB,2010,0
Gabon,GAB,2020,0
Gambia,GMB,2010,0
Gambia,GMB,2020,0
Georgia,GEO,2010,0.048188806
Georgia,GEO,2020,0.04450916
Germany,DEU,2010,0.1463263
Germany,DEU,2020,0.14160739
Ghana,GHA,2010,0
Ghana,GHA,2020,0
Greece,GRC,2010,0.040783837
Greece,GRC,2020,0.039002184
Grenada,GRD,2010,0
Grenada,GRD,2020,0
Guadeloupe,GLP,2010,0.35973766
Guadeloupe,GLP,2020,0.35385525
Guam,GUM,2010,0
Guam,GUM,2020,0
Guatemala,GTM,2010,0.006188493
Guatemala,GTM,2020,0.00518352
Guinea,GIN,2010,0
Guinea,GIN,2020,0
Guinea-Bissau,GNB,2010,0
Guinea-Bissau,GNB,2020,0
Guyana,GUY,2010,0.012033188
Guyana,GUY,2020,0.037631616
Haiti,HTI,2010,0.002235118
Haiti,HTI,2020,0.002122616
Honduras,HND,2010,0.011833014
Honduras,HND,2020,0.005927821
Hong Kong,HKG,2010,0.007711249
Hong Kong,HKG,2020,0.03234078
Hungary,HUN,2010,0.1515785
Hungary,HUN,2020,0.13296446
Iceland,ISL,2010,0.09419301
Iceland,ISL,2020,0.15547425
India,IND,2010,0.000367887
India,IND,2020,0.000301379
Indonesia,IDN,2010,0.0000058936
Indonesia,IDN,2020,0.001059009
Iran,IRN,2010,0.011692788
Iran,IRN,2020,0.009242157
Iraq,IRQ,2010,0
Iraq,IRQ,2020,0
Ireland,IRL,2010,0.02652177
Ireland,IRL,2020,0.054588255
Israel,ISR,2010,78.499756
Israel,ISR,2020,77.04939
Italy,ITA,2010,0.0750653
Italy,ITA,2020,0.071020424
Jamaica,JAM,2010,0.007315567
Jamaica,JAM,2020,0.017727759
Japan,JPN,2010,0.001321784
Japan,JPN,2020,0.001376222
Jordan,JOR,2010,0
Jordan,JOR,2020,0
Kazakhstan,KAZ,2010,0.03394018
Kazakhstan,KAZ,2020,0.04206277
Kenya,KEN,2010,0.00096344
Kenya,KEN,2020,0.000577081
Kiribati,KIR,2010,0
Kiribati,KIR,2020,0
Kosovo,OWID_KOS,2010,0.002802875
Kosovo,OWID_KOS,2020,0.002231373
Kuwait,KWT,2010,0.010736058
Kuwait,KWT,2020,0.010824583
Kyrgyzstan,KGZ,2010,0.009117808
Kyrgyzstan,KGZ,2020,0.004669352
Laos,LAO,2010,0
Laos,LAO,2020,0
Latin America-Caribbean (Pew),PEW_LAC,2010,0.07587067
Latin America-Caribbean (Pew),PEW_LAC,2020,0.060482305
Latvia,LVA,2010,0.3092984
Latvia,LVA,2020,0.22666748
Lebanon,LBN,2010,0.008487131
Lebanon,LBN,2020,0.005650791
Lesotho,LSO,2010,0.002471886
Lesotho,LSO,2020,0.00443636
Liberia,LBR,2010,0
Liberia,LBR,2020,0
Libya,LBY,2010,0.001925402
Libya,LBY,2020,0.001906484
Lithuania,LTU,2010,0.044943765
Lithuania,LTU,2020,0.037046697
Luxembourg,LUX,2010,0.21296524
Luxembourg,LUX,2020,0.4861338
Macao,MAC,2010,0
Macao,MAC,2020,0
Madagascar,MDG,2010,0.000460171
Madagascar,MDG,2020,0.000354294
Malawi,MWI,2010,0.003397103
Malawi,MWI,2020,0.001548222
Malaysia,MYS,2010,0
Malaysia,MYS,2020,0
Maldives,MDV,2010,0
Maldives,MDV,2020,0
Mali,MLI,2010,0
Mali,MLI,2020,0
Malta,MLT,2010,0.0146342
Malta,MLT,2020,0.28691515
Martinique,MTQ,2010,0
Martinique,MTQ,2020,0
Mauritania,MRT,2010,0.002924438
Mauritania,MRT,2020,0.002222912
Mauritius,MUS,2010,0.003350658
Mauritius,MUS,2020,0.003313229
Mayotte,MYT,2010,0
Mayotte,MYT,2020,0
Mexico,MEX,2010,0.061566554
Mexico,MEX,2020,0.04679668
Micronesia (country),FSM,2010,0
Micronesia (country),FSM,2020,0
Middle East-North Africa (Pew),PEW_MENA,2010,1.6217283
Middle East-North Africa (Pew),PEW_MENA,2020,1.5439178
Moldova,MDA,2010,0.023544269
Moldova,MDA,2020,0.019609634
Mongolia,MNG,2010,0
Mongolia,MNG,2020,0
Montenegro,MNE,2010,0
Montenegro,MNE,2020,0
Morocco,MAR,2010,0.010835662
Morocco,MAR,2020,0.006179804
Mozambique,MOZ,2010,0
Mozambique,MOZ,2020,0
Myanmar,MMR,2010,0.000162055
Myanmar,MMR,2020,0.000187185
Namibia,NAM,2010,0.004763559
Namibia,NAM,2020,0.00401752
Nepal,NPL,2010,0
Nepal,NPL,2020,0
Netherlands,NLD,2010,0.17952038
Netherlands,NLD,2020,0.17503501
New Caledonia,NCL,2010,0.039668046
New Caledonia,NCL,2020,0.035027374
New Zealand,NZL,2010,0.14342386
New Zealand,NZL,2020,0.1107935
Nicaragua,NIC,2010,0.001707728
Nicaragua,NIC,2020,0.001480189
Niger,NER,2010,0
Niger,NER,2020,0
Nigeria,NGA,2010,0.00006213
Nigeria,NGA,2020,0.0000480014
North America,OWID_NAM,2010,1.1288636
North America,OWID_NAM,2020,1.030844
North America (Pew),PEW_NAM,2010,1.7515265
North America (Pew),PEW_NAM,2020,1.6117561
North Korea,PRK,2010,0
North Korea,PRK,2020,0
North Macedonia,MKD,2010,0.004775941
North Macedonia,MKD,2020,0.004736931
Norway,NOR,2010,0.114491686
Norway,NOR,2020,0.09625021
Oceania,OWID_OCE,2010,0.31342062
Oceania,OWID_OCE,2020,0.25963432
Oman,OMN,2010,0.003851608
Oman,OMN,2020,0.0070652
Pakistan,PAK,2010,0.0000946306
Pakistan,PAK,2020,0.0000909027
Palestine,PSE,2010,0
Palestine,PSE,2020,0
Panama,PAN,2010,0.21971397
Panama,PAN,2020,0.2328616
Papua New Guinea,PNG,2010,0.001318692
Papua New Guinea,PNG,2020,0.001025679
Paraguay,PRY,2010,0.015601672
Paraguay,PRY,2020,0.016619591
Peru,PER,2010,0.006500266
Peru,PER,2020,0.005704891
Philippines,PHL,2010,0.000434807
Philippines,PHL,2020,0.000452259
Poland,POL,2010,0.008290724
Poland,POL,2020,0.0117101
Portugal,PRT,2010,0.035970528
Portugal,PRT,2020,0.03268465
Puerto Rico,PRI,2010,0.040175036
Puerto Rico,PRI,2020,0.04584962
Qatar,QAT,2010,0.012372345
Qatar,QAT,2020,0.010868053
Reunion,REU,2010,0.08987446
Reunion,REU,2020,0.08352278
Romania,ROU,2010,0.047208756
Romania,ROU,2020,0.045262743
Russia,RUS,2010,0.13820927
Russia,RUS,2020,0.08405081
Rwanda,RWA,2010,0
Rwanda,RWA,2020,0
Saint Lucia,LCA,2010,0
Saint Lucia,LCA,2020,0
Saint Vincent and the Grenadines,VCT,2010,0
Saint Vincent and the Grenadines,VCT,2020,0
Samoa,WSM,2010,0.015410576
Samoa,WSM,2020,0.009305377
Sao Tome and Principe,STP,2010,0
Sao Tome and Principe,STP,2020,0
Saudi Arabia,SAU,2010,0.002104589
Saudi Arabia,SAU,2020,0.002747443
Senegal,SEN,2010,0.000319231
Senegal,SEN,2020,0.000304208
Serbia,SRB,2010,0.008428319
Serbia,SRB,2020,0.009566501
Seychelles,SYC,2010,0
Seychelles,SYC,2020,0
Sierra Leone,SLE,2010,0
Sierra Leone,SLE,2020,0
Singapore,SGP,2010,0.005809912
Singapore,SGP,2020,0.015228762
Slovakia,SVK,2010,0.041586626
Slovakia,SVK,2020,0.037891094
Slovenia,SVN,2010,0.011258853
Slovenia,SVN,2020,0.02314097
Solomon Islands,SLB,2010,0
Solomon Islands,SLB,2020,0
Somalia,SOM,2010,0
Somalia,SOM,2020,0
South Africa,ZAF,2010,0.13614002
South Africa,ZAF,2020,0.06517801
South America,OWID_SAM,2010,0.09146762
South America,OWID_SAM,2020,0.07272223
South Korea,KOR,2010,0.000204863
South Korea,KOR,2020,0.000192884
South Sudan,SSD,2010,0
South Sudan,SSD,2020,0
Spain,ESP,2010,0.025766127
Spain,ESP,2020,0.027235987
Sri Lanka,LKA,2010,0.000338679
Sri Lanka,LKA,2020,0.000276306
Sub-Saharan Africa (Pew),PEW_SSA,2010,0.009579205
Sub-Saharan Africa (Pew),PEW_SSA,2020,0.004623499
Sudan,SDN,2010,0
Sudan,SDN,2020,0
Suriname,SUR,2010,0.03662467
Suriname,SUR,2020,0.032945402
Sweden,SWE,2010,0.08912202
Sweden,SWE,2020,0.15836248
Switzerland,CHE,2010,0.24494398
Switzerland,CHE,2020,0.22601055
Syria,SYR,2010,0.000536921
Syria,SYR,2020,0.000559979
Taiwan,TWN,2010,0
Taiwan,TWN,2020,0
Tajikistan,TJK,2010,0
Tajikistan,TJK,2020,0
Tanzania,TZA,2010,0.000288181
Tanzania,TZA,2020,0.000178269
Thailand,THA,2010,0.000292952
Thailand,THA,2020,0.000279816
Togo,TGO,2010,0.00038041
Togo,TGO,2020,0.000296118
Tonga,TON,2010,0
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2010,0.00709071
Trinidad and Tobago,TTO,2020,0.019760933
Tunisia,TUN,2010,0.008260623
Tunisia,TUN,2020,0.008222519
Turkey,TUR,2010,0.024944743
Turkey,TUR,2020,0.029282626
Turkmenistan,TKM,2010,0.003796529
Turkmenistan,TKM,2020,0.003199776
Uganda,UGA,2010,0.000278278
Uganda,UGA,2020,0.001040628
Ukraine,UKR,2010,0.1003009
Ukraine,UKR,2020,0.09571099
United Arab Emirates,ARE,2010,0.01381787
United Arab Emirates,ARE,2020,0.015009754
United Kingdom,GBR,2010,0.4516872
United Kingdom,GBR,2020,0.44077584
United States,USA,2010,1.8341268
United States,USA,2020,1.6892064
United States Virgin Islands,VIR,2010,0.3304677
United States Virgin Islands,VIR,2020,0.3332599
Uruguay,URY,2010,0.5189923
Uruguay,URY,2020,0.47826147
Uzbekistan,UZB,2010,0.01502461
Uzbekistan,UZB,2020,0.008351563
Vanuatu,VUT,2010,0.0162964
Vanuatu,VUT,2020,0.012833605
Venezuela,VEN,2010,0.040026743
Venezuela,VEN,2020,0.017549738
Vietnam,VNM,2010,0.000143369
Vietnam,VNM,2020,0.000127164
Western Sahara,ESH,2010,0
Western Sahara,ESH,2020,0
World,OWID_WRL,2010,0.19818659
World,OWID_WRL,2020,0.18742074
Yemen,YEM,2010,0.000969251
Yemen,YEM,2020,0.000202427
Zambia,ZMB,2010,0.001232591
Zambia,ZMB,2020,0.001003819
Zimbabwe,ZWE,2010,0.003115321
Zimbabwe,ZWE,2020,0.001276351
