Entity,Code,Year,Share of the population who are Buddhists
Vanuatu,VUT,2020,0.016042005
Venezuela,VEN,2010,0.021335995
Venezuela,VEN,2020,0.021340482
Vietnam,VNM,2010,27.585896
Vietnam,VNM,2020,23.020819
Western Sahara,ESH,2010,0
Western Sahara,ESH,2020,0
World,OWID_WRL,2010,4.88203
World,OWID_WRL,2020,4.1110005
Yemen,YEM,2010,0.000547632
Yemen,YEM,2020,0.000546552
Zambia,ZMB,2010,0.00217516
Zambia,ZMB,2020,0.001901973
Zimbabwe,ZWE,2010,0.04345872
Zimbabwe,ZWE,2020,0.037205644
